,latitude,longitude,LSOA11CD
476,53.48078,-2.23652,E01033653
477,53.48096999999999,-2.23648,E01033653
478,53.48011999999999,-2.2324200000000003,E01033653
479,53.4826,-2.23356,E01033653
480,53.4827,-2.23329,E01033653
481,53.478530000000006,-2.23703,E01033653
482,53.47845,-2.23657,E01033653
483,53.47964,-2.23592,E01033653
484,53.4781,-2.2367,E01033653
485,53.47645,-2.2376,E01033653
486,53.4819,-2.23276,E01033653
487,53.47551,-2.23725,E01033653
488,53.4753,-2.23786,E01033653
489,53.47502,-2.2375,E01033653
490,53.47662,-2.238,E01033653
491,53.47671999999999,-2.23933,E01033653
492,53.48296387998752,-2.234008786900117,E01033653
493,53.48195462684002,-2.232192256092488,E01033653
494,53.48243979040182,-2.2324279738789703,E01033653
495,53.48209968953611,-2.2359828718472192,E01033653
496,53.48079869410846,-2.2347496173331667,E01033653
497,53.48159440060208,-2.2328022711545428,E01033653
498,53.475701560453395,-2.236359715820647,E01033653
499,53.475684522993966,-2.237763810970378,E01033653
500,53.47599509239245,-2.23620027983354,E01033653
501,53.48089961361122,-2.2333099549669546,E01033653
502,53.48092651757861,-2.2348246703626438,E01033653
503,53.48178099680806,-2.2342839445000373,E01033653
504,53.47627428008661,-2.2368048866783625,E01033653
505,53.48124710340557,-2.2362150053584733,E01033653
506,53.4789611462444,-2.2399569007369866,E01033653
507,53.481127504768246,-2.2346211630661332,E01033653
508,53.47696804991703,-2.2379787603147343,E01033653
509,53.47577455043201,-2.2360710546567204,E01033653
510,53.47746522211772,-2.2378620503345723,E01033653
511,53.476413724378084,-2.238773940418399,E01033653
512,53.47512213287335,-2.2375734956928044,E01033653
513,53.4757,-2.23636,E01033653
514,53.47704,-2.24042,E01033653
515,53.4802,-2.23312,E01033653
516,53.48183,-2.23632,E01033653
517,53.48131,-2.23582,E01033653
518,53.4816,-2.2313400000000003,E01033653
519,53.48047666009782,-2.2334794533096685,E01033653
520,53.43887,-2.21478,E01005312
521,53.43898000000001,-2.21519,E01005312
522,53.43919,-2.21441,E01005312
523,53.43663000000001,-2.21526,E01005312
524,53.43905,-2.2147,E01005312
525,53.4376,-2.21413,E01005312
526,53.43763203546033,-2.213887694517465,E01005312
527,53.43686999999999,-2.2126,E01005312
528,51.4318,-2.53583,E01014526
529,51.47345,-2.55125,E01014573
530,51.47432,-2.54875,E01014573
531,51.47438,-2.54833,E01014573
532,51.47361,-2.54788,E01014573
533,51.47428,-2.54787,E01014573
534,51.47336,-2.55128,E01014573
535,51.47412,-2.5491,E01014573
536,51.47453,-2.54903,E01014573
537,51.47521,-2.54882,E01014573
538,51.4751,-2.54747,E01014573
539,51.47368,-2.54475,E01014573
